"case_id","case","url","firm","case_name","google_url","cordinate","lat","lon","district"
34,"華友聯開發-光華路案(仮) 31F","https://www.facebook.com/media/set/?set=a.843862131107702&type=3","華友聯開發","光華路案(仮) 31F","https://bit.ly/3KBnIPV","22°37'21.0\N 120°20'50.0\E · 830, Taiwan, Kaohsiung City, Fengshan District, 協和里",22.6225,120.347222222222,"鳳山區"
54,"佳鋐建設-赤仁路案B(仮) 13F","https://www.facebook.com/media/set/?set=a.838985171595398&type=3","佳鋐建設","赤仁路案B(仮) 13F","https://bit.ly/3Vp71gT","22°40'35.0\N 120°20'53.7\E · No. 212, Cihui 2nd St, Renwu District, Kaohsiung City, Taiwan 814",22.6763888888889,120.34825,"仁武區"
60,"都市建設-京吉二路案(仮) 15F","https://www.facebook.com/media/set/?set=a.812776940882888&type=3","都市建設","京吉二路案(仮) 15F","https://bit.ly/3JrypUr","22°41'01.2\N 120°20'35.9\E · 814, Taiwan, Kaohsiung City, Renwu District, 八卦里",22.6836666666667,120.343305555556,"仁武區"
3,"仰德建設-仰德．美麗島 15F","https://www.facebook.com/media/set/?set=a.481498587344060&type=3","仰德建設","仰德．美麗島 15F","https://is.gd/S3So8d",NA,22.6322517,120.3042166,"新興區"
4,"寶象建設-寶象文化豆 15F","https://www.facebook.com/media/set/?set=a.715826923911224&type=3","寶象建設","寶象文化豆 15F","https://is.gd/uOGwL1",NA,22.626485,120.3084269,"新興區"
5,"內政部-移民署南區分署辦公大樓 6F","https://www.facebook.com/media/set/?set=a.731624972331419&type=3","內政部","移民署南區分署辦公大樓 6F","https://is.gd/BZbo7W",NA,22.6305105,120.3096266,"新興區"
8,"居富開發-凱旋二路案(仮) 14F","https://www.facebook.com/media/set/?set=a.670631438430773&type=3","居富開發","凱旋二路案(仮) 14F","https://is.gd/i1ainG",NA,22.6296832,120.3208093,"苓雅區"
14,"永信建設-四維二路案(仮) 30F","https://www.facebook.com/media/set/?set=a.501336078693644&type=3","永信建設","四維二路案(仮) 30F","https://is.gd/9pAXu1",NA,22.623504,120.3229318,"苓雅區"
17,"全誠建設-廣西路案(仮) 19F","https://www.facebook.com/media/set/?set=a.481498077344111&type=3","全誠建設","廣西路案(仮) 19F","https://is.gd/1WirgQ",NA,22.6151822,120.3169168,"前鎮區"
26,"浤圃建設-星峰匯 29F","https://www.facebook.com/media/set/?set=a.522222759938309&type=3","浤圃建設","星峰匯 29F","https://is.gd/GKKk6T",NA,22.621034,120.2957556,"前金區"
33,"仰德建設-駁二AIT 23F","https://www.facebook.com/media/set/?set=a.560848032742448&type=3","仰德建設","駁二AIT 23F","https://is.gd/VFY2c2",NA,22.6267962,120.2801838,"鹽埕區"
35,"匯成機構-滙埕 15F","https://www.facebook.com/media/set/?set=a.577956104364974&type=3","匯成機構","滙埕 15F","https://is.gd/ei3Jqk","No. 54, Lane 53, Gushanyi Rd, Gushan District · No. 54, Lane 53, Gushanyi Rd, Gushan District, Kaohsiung City, Taiwan 804",22.6253314,120.2767978,"鼓山區"
36,"興全盛投資-鼓山二路案(仮) 12F","https://www.facebook.com/media/set/?set=a.501327092027876&type=3","興全盛投資","鼓山二路案(仮) 12F","https://is.gd/9rBqon",NA,22.638015,120.2796078,"鼓山區"
40,"明森建築-明森丰川 15F","https://www.facebook.com/media/set/?set=a.731638705663379&type=3","明森建築","明森丰川 15F","https://is.gd/l9sNLD",NA,22.6361377,120.2914863,"三民區"
46,"興華城建設-河美術 15F","https://www.facebook.com/media/set/?set=a.506969268130325&type=3","興華城建設","河美術 15F","https://is.gd/d6S95X",NA,22.650284,120.2907268,"鼓山區"
72,"永信建設-明鳳二十六街案(仮) 13F","https://www.facebook.com/media/set/?set=a.1088798836614029&type=3","永信建設","明鳳二十六街案(仮) 13F","https://is.gd/5aTsD4",NA,22.5883352,120.3355604,"前鎮區"
125,"京城建設-文學路案(仮) 15F","https://www.facebook.com/media/set/?set=a.707861088041141&type=3","京城建設","文學路案(仮) 15F","https://is.gd/SdgOSe","No. 459, Wenxue Rd, Zuoying District · No. 459, Wenxue Rd, Zuoying District, Kaohsiung City, Taiwan 813",22.6904542,120.3159994,"左營區"
41,"太普建設-中華二路案(仮) 29F","https://www.facebook.com/media/set/?set=a.877561774404404&type=3","太普建設","中華二路案(仮) 29F","https://bit.ly/4dvK5CV","22°38'21.6\N 120°17'33.9\E · No. 16, Zhonghua 2nd Rd, Sanmin District, Kaohsiung City, Taiwan 807",22.6393333333333,120.29275,"三民區"
2,"興富發建設-中山鉑悦 36F","https://www.facebook.com/media/set/?set=a.1098390722321507&type=3","興富發建設","中山鉑悦 36F","https://reurl.cc/7Kv03N","22°37'43.2\N 120°18'07.3\E · 22.628667, 120.302028",22.6286666666667,120.302027777778,"新興區"
11,"城揚建設-國治路案(仮) 15F","https://www.facebook.com/media/set/?set=a.800004618826787&type=3","城揚建設","國治路案(仮) 15F","https://bit.ly/3VHvRcs","22°37'51.0\N 120°19'33.0\E · 802台灣高雄市苓雅區武廟路9號",22.6308333333333,120.325833333333,"苓雅區"
16,"浤圃建設-泉州街案(仮) 15F","https://www.facebook.com/media/set/?set=a.800005708826678&type=3","浤圃建設","泉州街案(仮) 15F","https://bit.ly/49hDclW","22°37'28.8\N 120°18'46.3\E · 802台灣高雄市苓雅區泉州街76號",22.6246666666667,120.312861111111,"苓雅區"
18,"友友開發-籬仔內路案(仮) 15F","https://www.facebook.com/media/set/?set=a.1098389082321671&type=3","友友開發","籬仔內路案(仮) 15F","https://reurl.cc/K8nexn","22°36'16.9\N 120°19'21.0\E · 22.604694, 120.322500",22.6046944444444,120.3225,"前鎮區"
19,"京城建設-和平三路案(仮) 15F","https://www.facebook.com/media/set/?set=a.825123446314904&type=3","京城建設","和平三路案(仮) 15F","https://bit.ly/4bx42rT","22°36'17.8\N 120°19'06.7\E · 806台灣高雄市前鎮區瑞竹里",22.6049444444444,120.318527777778,"前鎮區"
